longitude|latitude|start_date|end_date|source|horizon_lower|horizon_upper|aluminium_extractable|boron_extractable|calcium_extractable|carbon_organic|carbon_total|copper_extractable|electrical_conductivity|iron_extractable|magnesium_extractable|manganese_extractable|nitrogen_total|ph|phosphorus_extractable|potassium_extractable|sodium_extractable|sulphur_extractable|zinc_extractable
35.19737|-8.59876|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1496.671||794.242|35.63|37.85|0.973||153.333|213.349|35.628|3.08|5.25||203.205|||
35.64851|-8.59863|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|566.883||497.25|7.51|9.69|0.401||109.985|169.984|78.642|0.47|6.536||106.13|||
35.1967|-8.59858|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1022.67||1177.058|25.6|25.33|1.252||66.901|164.17|85.609|1.76|5.932||161.794|||
35.19859|-8.59837|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1318.861||781.681|29.94|27.52|1.712||102.023|195.583|50.395|2.18|5.756||182.152|||
35.64833|-8.59784|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1432.127||1013.197|39.49|42.56|1.939||116.471|209.636|54.757|3.08|5.181||141.13|||
35.13931|-8.59702|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1412.587||483.241|12.85|11.86|0.771||136.42|155.045|67.971|0.86|5.052||192.477|||
35.13424|-8.59625|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|977.715||613.344|10.69|13.09|1.273||144.959|140.07|152.203|0.89|5.848||181.672|||
35.13439|-8.59604|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1123.844||333.113|15.32|14.17|0.721||100.328|137.177|105.844|0.95|5.58||293.169|||
35.13986|-8.59459|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1175.453||386.735|13.78|17.88|2.026||195.593|213.408|66.702|1.05|4.649||293.881|||
35.12854|-8.59388|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1177.272||128.427|11.39|10.19|2.624||58.163|108.579|48.186|0.71|5.272||186.908|||
35.13228|-8.59293|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1058.434||306.215|11.43|9.63|0.911||96.998|153.898|119.318|0.68|5.456||210.569|||
35.44789|-8.59144|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1735.774||430.113|41.82|41.18|0.457||86.853|64.344|35.088|2.45|5.083||95.301|||
